Links,Names
https://chartink.com/screener/profit-jump-by-200,profit jump by 200
https://chartink.com/screener/large-cap-stocks,large cap stocks
https://chartink.com/screener/stocks-below-book-value,stocks below book value
https://chartink.com/screener/low-debt-companies,low debt companies
https://chartink.com/screener/mid-cap-stocks,mid cap stocks
https://chartink.com/screener/sales-jump-by-200,sales jump by 200
https://chartink.com/screener/top-stocks-with-the-lowest-pe-pricing-earnings,top stocks with the lowest pe pricing earnings
https://chartink.com/screener/highest-earning-per-share-eps-stocks,highest earning per share eps stocks
https://chartink.com/screener/small-cap-stocks,small cap stocks
https://chartink.com/screener/pious-volume-generator,pious volume generator
https://chartink.com/screener/top-stocks-with-the-highest-eps-earning-per-share,top stocks with the highest eps earning per share
https://chartink.com/screener/penny-stocks-multi-bagger-1,penny stocks multi bagger 1
https://chartink.com/screener/position-buy-seema,position buy seema
https://chartink.com/screener/best-stocks-for-intrady,best stocks for intrady
https://chartink.com/screener/copy-strong-stocks-1121,copy strong stocks 1121
https://chartink.com/screener/fundamental-strong-stocks,fundamental strong stocks
https://chartink.com/screener/jayeshmane,jayeshmane
https://chartink.com/screener/btst-stokcs-with-full-features-3,btst stokcs with full features 3
https://chartink.com/screener/penny-stocks-multi-bagger,penny stocks multi bagger
https://chartink.com/screener/monthly-multibaggers-1,monthly multibaggers 1
https://chartink.com/screener/open-equals-high-sell-these-if-they-dont-rise-further-above-by-9-25,open equals high sell these if they dont rise further above by 9 25
https://chartink.com/screener/volume-break-out-20-day,volume break out 20 day
https://chartink.com/screener/dividend-paying-stocks-more-then-100,dividend paying stocks more then 100
https://chartink.com/screener/intraday-open-high-low-strategy,intraday open high low strategy
https://chartink.com/screener/copy-bullish-script-28,copy bullish script 28
https://chartink.com/screener/system-3-3,system 3 3
https://chartink.com/screener/fundamental-14,fundamental 14
https://chartink.com/screener/top-stocks-with-the-highest-pe-price-earning-ratios,top stocks with the highest pe price earning ratios
https://chartink.com/screener/raju-low-to-high,raju low to high
https://chartink.com/screener/open-equals-low-buy-these-if-they-dont-fall-further-below-by-9-25am,open equals low buy these if they dont fall further below by 9 25am
https://chartink.com/screener/stbt-stocks-new-7,stbt stocks new 7
https://chartink.com/screener/my-delivery-strategy,my delivery strategy
https://chartink.com/screener/trand-identify,trand identify
https://chartink.com/screener/stock-for-holding,stock for holding
https://chartink.com/screener/fundamental-picks,fundamental picks
https://chartink.com/screener/dividend-yield,dividend yield
https://chartink.com/screener/alwhads,alwhads
https://chartink.com/screener/best-multibagger-stock,best multibagger stock
https://chartink.com/screener/1-676,1 676
https://chartink.com/screener/super-trend-i-used-daily-1-hour-15-min-bullish,super trend i used daily 1 hour 15 min bullish
https://chartink.com/screener/2-days-increasing-stock-3-day-will-increase-1,2 days increasing stock 3 day will increase 1
https://chartink.com/screener/stocks-with-rising-prices-increase-in-volume,stocks with rising prices increase in volume
https://chartink.com/screener/alwhadb,alwhadb
https://chartink.com/screener/52-macd,52 macd
https://chartink.com/screener/buy-200dma-rsi30,buy 200dma rsi30
https://chartink.com/screener/ram11,ram11
https://chartink.com/screener/fundamental-analysis-for-long-term,fundamental analysis for long term
https://chartink.com/screener/aakash,aakash
https://chartink.com/screener/intraday-todays-price-and-volume-gainer,intraday todays price and volume gainer
https://chartink.com/screener/fundamental-magic,fundamental magic
https://chartink.com/screener/penny-plus-stocks,penny plus stocks
https://chartink.com/screener/adx-trend-14,adx trend 14
https://chartink.com/screener/high-dividend-stocks,high dividend stocks
https://chartink.com/screener/nitesh-kamble,nitesh kamble
https://chartink.com/screener/macd-938,macd 938
https://chartink.com/screener/pure-fundas-part-1,pure fundas part 1
https://chartink.com/screener/market-cap,market cap
https://chartink.com/screener/delivery-trading-strategy,delivery trading strategy
https://chartink.com/screener/nks-technofunda,nks technofunda
https://chartink.com/screener/gap-up-down-217,gap up down 217
https://chartink.com/screener/fundamental-super-2,fundamental super 2
https://chartink.com/screener/rsi-2-90-for-shot,rsi 2 90 for shot
https://chartink.com/screener/longterm-fundamental,longterm fundamental
https://chartink.com/screener/3-friends-with-super-trend-nifty-500,3 friends with super trend nifty 500
https://chartink.com/screener/sell-4-next-day,sell 4 next day
https://chartink.com/screener/oversold-stock-5,oversold stock 5
https://chartink.com/screener/long-term-buy-26,long term buy 26
https://chartink.com/screener/mcap-yearly-sell-turnover,mcap yearly sell turnover
https://chartink.com/screener/strong-sell-44,strong sell 44
https://chartink.com/screener/pure-fundas-part-2-1,pure fundas part 2 1
https://chartink.com/screener/prev-days,prev days
https://chartink.com/screener/buy-4-next-day,buy 4 next day
https://chartink.com/screener/nw-loans,nw loans
https://chartink.com/screener/eps,eps
https://chartink.com/screener/bhavesh-scan-123,bhavesh scan 123
https://chartink.com/screener/todays-top-looser-with-price-and-volume,todays top looser with price and volume
https://chartink.com/screener/volume-shocker-for-delivery-trade,volume shocker for delivery trade
https://chartink.com/screener/3-months-30p-down-to-invest,3 months 30p down to invest
https://chartink.com/screener/prev-days-1,prev days 1
https://chartink.com/screener/kishore-rsi-less-then-35,kishore rsi less then 35
https://chartink.com/screener/penny-pick,penny pick
https://chartink.com/screener/positional-trade-108,positional trade 108
https://chartink.com/screener/near-high-after-1-hr-1,near high after 1 hr 1
https://chartink.com/screener/stocks-between-500-cr-to-1000-cr-mkt-cap,stocks between 500 cr to 1000 cr mkt cap
https://chartink.com/screener/high-beta-intraday,high beta intraday
https://chartink.com/screener/fundamentals-indicating-bullishness,fundamentals indicating bullishness
https://chartink.com/screener/bullish-red-pin-bar,bullish red pin bar
https://chartink.com/screener/sma-2140,sma 2140
https://chartink.com/screener/swing-buy-trade-bot-15min-2,swing buy trade bot 15min 2
https://chartink.com/screener/52-weeks-low-profit-making-company,52 weeks low profit making company
https://chartink.com/screener/kk-12,kk 12
https://chartink.com/screener/camarilla-stocks,camarilla stocks
https://chartink.com/screener/profitabledebtfreedividentpaying,profitabledebtfreedividentpaying
https://chartink.com/screener/delivery-stocks-3,delivery stocks 3
https://chartink.com/screener/monthly-133,monthly 133
https://chartink.com/screener/rsi-below-83,rsi below 83
https://chartink.com/screener/fundamental-strong-stocks-1,fundamental strong stocks 1
https://chartink.com/screener/positional-bullish-3,positional bullish 3
https://chartink.com/screener/positional-all-in-one-baap-scanner,positional all in one baap scanner
https://chartink.com/screener/copy-nks-98-o-l-trick-24-11-2017-349,copy nks 98 o l trick 24 11 2017 349
https://chartink.com/screener/fundamental-scanner-optimum-book-value-earnings-and-price-placement,fundamental scanner optimum book value earnings and price placement
https://chartink.com/screener/ema-bullish-scan-4,ema bullish scan 4
https://chartink.com/screener/copy-low-debt-companies-6,copy low debt companies 6
https://chartink.com/screener/ema-13-50-200-stocks-created-by-vijay-jadhav,ema 13 50 200 stocks created by vijay jadhav
https://chartink.com/screener/52-week-low-large-cap-companies-scanner,52 week low large cap companies scanner
https://chartink.com/screener/3day-30,3day 30
https://chartink.com/screener/50-days-sma-100-days-sma,50 days sma 100 days sma
https://chartink.com/screener/dd-vol,dd vol
https://chartink.com/screener/prakash-babu,prakash babu
https://chartink.com/screener/supertrend-19092120,supertrend 19092120
https://chartink.com/screener/strong-stock-for-position-weekly-rise,strong stock for position weekly rise
https://chartink.com/screener/315-strategy-1,315 strategy 1
https://chartink.com/screener/prakash-babu-1,prakash babu 1
https://chartink.com/screener/fundamental-scan-1,fundamental scan 1
https://chartink.com/screener/fundmt,fundmt
https://chartink.com/screener/market-cap-from-5k-to-10k-in-2-yrs,market cap from 5k to 10k in 2 yrs
https://chartink.com/screener/bb-291321,bb 291321
https://chartink.com/screener/nks-98-per-eod,nks 98 per eod
https://chartink.com/screener/copy-profit-jump-by-200-210,copy profit jump by 200 210
https://chartink.com/screener/laxmi-2,laxmi 2
https://chartink.com/screener/monthli-scan2,monthli scan2
https://chartink.com/screener/midcap-stocks-5001,midcap stocks 5001
https://chartink.com/screener/shashi-kant-gedam,shashi kant gedam
https://chartink.com/screener/swing-trading-ma-20,swing trading ma 20
https://chartink.com/screener/nirav-main-scan-working,nirav main scan working
https://chartink.com/screener/microcap-stocks,microcap stocks
https://chartink.com/screener/copy-at-50dma,copy at 50dma
https://chartink.com/screener/breakout-condition-1,breakout condition 1
https://chartink.com/screener/gap-up-scan-3,gap up scan 3
https://chartink.com/screener/copy-nifty-trend-if-less-stocks-then-uptrend-5,copy nifty trend if less stocks then uptrend 5
https://chartink.com/screener/weekly-200-ma-cross,weekly 200 ma cross
https://chartink.com/screener/asit-expert,asit expert
https://chartink.com/screener/mark-minervini-template,mark minervini template
https://chartink.com/screener/ashish-fundamental-scan,ashish fundamental scan
https://chartink.com/screener/high-value-traded,high value traded
https://chartink.com/screener/swing-buy-trade-bot,swing buy trade bot
https://chartink.com/screener/trend-per-sw-75,trend per sw 75
https://chartink.com/screener/scan-932,scan 932
https://chartink.com/screener/value-pick-4,value pick 4
https://chartink.com/screener/my-investing,my investing
https://chartink.com/screener/fundamental-scanner-1,fundamental scanner 1
https://chartink.com/screener/copy-buy-3,copy buy 3
https://chartink.com/screener/largecap-stocks,largecap stocks
https://chartink.com/screener/copy-stocks-near-52-week-high-by-25-53,copy stocks near 52 week high by 25 53
https://chartink.com/screener/52weekslow-high-dividend,52weekslow high dividend
https://chartink.com/screener/manus-gap-up-and-down-nifty50,manus gap up and down nifty50
https://chartink.com/screener/rsi-above-269,rsi above 269
https://chartink.com/screener/safer-stocks,safer stocks
https://chartink.com/screener/hourly-gainer-most-active-large-cap,hourly gainer most active large cap
https://chartink.com/screener/low-pe-companies-with-some-dividend-yeild,low pe companies with some dividend yeild
https://chartink.com/screener/junaid,junaid
https://chartink.com/screener/week-highs,week highs
https://chartink.com/screener/copy-institutional-buying-9,copy institutional buying 9
https://chartink.com/screener/operator-buy-weekly-daily-breakou,operator buy weekly daily breakou
https://chartink.com/screener/smallcap-stocks,smallcap stocks
https://chartink.com/screener/volumevipul,volumevipul
https://chartink.com/screener/strong-buy-2-days,strong buy 2 days
https://chartink.com/screener/ema-scan-bearish,ema scan bearish
https://chartink.com/screener/basic-scan-13,basic scan 13
https://chartink.com/screener/satya-atr,satya atr
https://chartink.com/screener/fundamental-16,fundamental 16
https://chartink.com/screener/my-final-bulish-intra,my final bulish intra
https://chartink.com/screener/jhingada-waste,jhingada waste
https://chartink.com/screener/v-108,v 108
https://chartink.com/screener/swing-buy-trade-bot-5min,swing buy trade bot 5min
https://chartink.com/screener/fundamental-12,fundamental 12
https://chartink.com/screener/mean-reversion-short-4,mean reversion short 4
https://chartink.com/screener/mk-book-scan,mk book scan
https://chartink.com/screener/rohit-2-1,rohit 2 1
https://chartink.com/screener/moving-average-bullish-6,moving average bullish 6
https://chartink.com/screener/450-sma-1,450 sma 1
https://chartink.com/screener/buying-stocks-1,buying stocks 1
https://chartink.com/screener/bin-ha-future-buy,bin ha future buy
https://chartink.com/screener/short-term-111,short term 111
https://chartink.com/screener/315-strategy-sell,315 strategy sell
https://chartink.com/screener/copy-volume-shockers-stocks-with-rising-volumes-1005,copy volume shockers stocks with rising volumes 1005
https://chartink.com/screener/fundascan1,fundascan1
https://chartink.com/screener/mean-reversion-17,mean reversion 17
https://chartink.com/screener/open-equal-high-107,open equal high 107
https://chartink.com/screener/quarterly-scan,quarterly scan
https://chartink.com/screener/undervalued-63,undervalued 63
https://chartink.com/screener/long-ter-1,long ter 1
https://chartink.com/screener/rahul-intra,rahul intra
https://chartink.com/screener/copy-strategy-based-on-ma-9-ma-50,copy strategy based on ma 9 ma 50
https://chartink.com/screener/macd-bearish-60,macd bearish 60
https://chartink.com/screener/companies-that-are-turning-around,companies that are turning around
https://chartink.com/screener/fundastock,fundastock
https://chartink.com/screener/rsi-buy-152,rsi buy 152
https://chartink.com/screener/rohit-1-2,rohit 1 2
https://chartink.com/screener/swing-buy-trade-bot-15min,swing buy trade bot 15min
https://chartink.com/screener/trend-morning-star,trend morning star
https://chartink.com/screener/long-setup-volume-increase,long setup volume increase
https://chartink.com/screener/trend-finder-13,trend finder 13
https://chartink.com/screener/buydelivery,buydelivery
https://chartink.com/screener/stocks-lower-than-book-value,stocks lower than book value
https://chartink.com/screener/volume-scan-for-fno,volume scan for fno
https://chartink.com/screener/delta-1,delta 1
https://chartink.com/screener/swing-sell-trade-bot-1d-2,swing sell trade bot 1d 2
https://chartink.com/screener/v-155,v 155
https://chartink.com/screener/breakout-condition-2,breakout condition 2
https://chartink.com/screener/rohit-4-1,rohit 4 1
https://chartink.com/screener/how-to-code-day-s-first-candle,how to code day s first candle
https://chartink.com/screener/fundamental-study-short,fundamental study short
https://chartink.com/screener/gap-up-gap-down-25,gap up gap down 25
https://chartink.com/screener/improving-prospects-1,improving prospects 1
https://chartink.com/screener/abhi135,abhi135
https://chartink.com/screener/volume-increase-18,volume increase 18
https://chartink.com/screener/copy-open-low-with-high-volume-33,copy open low with high volume 33
https://chartink.com/screener/p1-10,p1 10
